Observation id,Observation date,Description,Observation type,Source,Time offset (s),Coding duration,Media duration (s),FPS (frame/s),Coder ID Initials,Arena Site,Deployement Period,Subject,Observation duration by subject by observation,Behavior,Behavioral category,Modifier #1,Modifier #2,Modifier #3,Modifier #4,Modifier #5,Behavior type,Start (s),Stop (s),Duration (s),Media file name,Image index start,Image index stop,Image file path start,Image file path stop,Comment start,Comment stop
2026-HC-2PPSTREAM-A-B__2026-01-21_16-35-53,2026-01-21 16:35:53.000,,Media file,player #1:teressa_sync_filtered_videos\HC-2PPSTREAM\Deployement period 1\2026-HC-2PPSTREAM-A-B__2026-01-21_16-35-53.mp4,0.0,101.267,120.500,60.000,TW,2PP, 1,Billy,2.7,other behavior/modifier,user notes,None,,,,,POINT,19.233,19.233,NA,teressa_sync_filtered_videos\HC-2PPSTREAM\Deployement period 1\2026-HC-2PPSTREAM-A-B__2026-01-21_16-35-53.mp4,769,769,,,"much vigilance, inspection of arena",
2026-HC-2PPSTREAM-A-B__2026-01-21_16-35-53,2026-01-21 16:35:53.000,,Media file,player #1:teressa_sync_filtered_videos\HC-2PPSTREAM\Deployement period 1\2026-HC-2PPSTREAM-A-B__2026-01-21_16-35-53.mp4,0.0,101.267,120.500,60.000,TW,2PP, 1,Billy,2.7,bucket inspection,information gain,bucket 1,,,,,STATE,47.000,49.700,2.700,teressa_sync_filtered_videos\HC-2PPSTREAM\Deployement period 1\2026-HC-2PPSTREAM-A-B__2026-01-21_16-35-53.mp4,1878,1986,,,,
2026-HC-2PPSTREAM-A-B__2026-01-21_16-35-53,2026-01-21 16:35:53.000,,Media file,player #1:teressa_sync_filtered_videos\HC-2PPSTREAM\Deployement period 1\2026-HC-2PPSTREAM-A-B__2026-01-21_16-35-53.mp4,0.0,101.267,120.500,60.000,TW,2PP, 1,Billy,2.7,reduced visibility,status,,,,,,POINT,54.967,54.967,NA,teressa_sync_filtered_videos\HC-2PPSTREAM\Deployement period 1\2026-HC-2PPSTREAM-A-B__2026-01-21_16-35-53.mp4,2197,2197,,,,
2026-HC-2PPSTREAM-A-B__2026-01-21_16-35-53,2026-01-21 16:35:53.000,,Media file,player #1:teressa_sync_filtered_videos\HC-2PPSTREAM\Deployement period 1\2026-HC-2PPSTREAM-A-B__2026-01-21_16-35-53.mp4,0.0,101.267,120.500,60.000,TW,2PP, 1,Winston,15.934,bucket inspection,information gain,bucket 1,,,,,STATE,94.233,98.867,4.634,teressa_sync_filtered_videos\HC-2PPSTREAM\Deployement period 1\2026-HC-2PPSTREAM-A-B__2026-01-21_16-35-53.mp4,3766,3951,,,,
2026-HC-2PPSTREAM-A-B__2026-01-21_16-35-53,2026-01-21 16:35:53.000,,Media file,player #1:teressa_sync_filtered_videos\HC-2PPSTREAM\Deployement period 1\2026-HC-2PPSTREAM-A-B__2026-01-21_16-35-53.mp4,0.0,101.267,120.500,60.000,TW,2PP, 1,Winston,15.934,other behavior/modifier,user notes,None,,,,,POINT,99.800,99.800,NA,teressa_sync_filtered_videos\HC-2PPSTREAM\Deployement period 1\2026-HC-2PPSTREAM-A-B__2026-01-21_16-35-53.mp4,3988,3988,,,"much vigilance, inspection of arena, threats to arena",
2026-HC-2PPSTREAM-A-B__2026-01-21_16-35-53,2026-01-21 16:35:53.000,,Media file,player #1:teressa_sync_filtered_videos\HC-2PPSTREAM\Deployement period 1\2026-HC-2PPSTREAM-A-B__2026-01-21_16-35-53.mp4,0.0,101.267,120.500,60.000,TW,2PP, 1,Winston,15.934,bucket inspection,information gain,bucket 1,,,,,STATE,105.900,111.800,5.900,teressa_sync_filtered_videos\HC-2PPSTREAM\Deployement period 1\2026-HC-2PPSTREAM-A-B__2026-01-21_16-35-53.mp4,4232,4468,,,,
2026-HC-2PPSTREAM-A-B__2026-01-21_16-35-53,2026-01-21 16:35:53.000,,Media file,player #1:teressa_sync_filtered_videos\HC-2PPSTREAM\Deployement period 1\2026-HC-2PPSTREAM-A-B__2026-01-21_16-35-53.mp4,0.0,101.267,120.500,60.000,TW,2PP, 1,Winston,15.934,bucket inspection,information gain,bucket 1,,,,,STATE,114.867,116.567,1.700,teressa_sync_filtered_videos\HC-2PPSTREAM\Deployement period 1\2026-HC-2PPSTREAM-A-B__2026-01-21_16-35-53.mp4,4590,4658,,,,
2026-HC-2PPSTREAM-A-B__2026-01-21_16-35-53,2026-01-21 16:35:53.000,,Media file,player #1:teressa_sync_filtered_videos\HC-2PPSTREAM\Deployement period 1\2026-HC-2PPSTREAM-A-B__2026-01-21_16-35-53.mp4,0.0,101.267,120.500,60.000,TW,2PP, 1,Winston,15.934,handling HC,food handling,None,bucket 1,None,None,None,STATE,116.800,120.500,3.700,teressa_sync_filtered_videos\HC-2PPSTREAM\Deployement period 1\2026-HC-2PPSTREAM-A-B__2026-01-21_16-35-53.mp4,4668,NA,,,,Event automatically added by the fix unpaired state events function
2026-HC-2PPSTREAM-A-B__2026-01-21_16-38-07,2026-01-21 16:38:07.000,,Media file,player #1:teressa_sync_filtered_videos\HC-2PPSTREAM\Deployement period 1\2026-HC-2PPSTREAM-A-B__2026-01-21_16-38-07.mp4,0.0,120.500,120.500,60.000,TW,2PP, 1,Winston,35.329,bucket inspection,information gain,bucket 1,,,,,STATE,0.000,4.533,4.533,teressa_sync_filtered_videos\HC-2PPSTREAM\Deployement period 1\2026-HC-2PPSTREAM-A-B__2026-01-21_16-38-07.mp4,0,181,,,stna,
2026-HC-2PPSTREAM-A-B__2026-01-21_16-38-07,2026-01-21 16:38:07.000,,Media file,player #1:teressa_sync_filtered_videos\HC-2PPSTREAM\Deployement period 1\2026-HC-2PPSTREAM-A-B__2026-01-21_16-38-07.mp4,0.0,120.500,120.500,60.000,TW,2PP, 1,Winston,35.329,handling HC,food handling,None,bucket 1,None,None,None,STATE,4.967,7.333,2.366,teressa_sync_filtered_videos\HC-2PPSTREAM\Deployement period 1\2026-HC-2PPSTREAM-A-B__2026-01-21_16-38-07.mp4,198,293,,,,
2026-HC-2PPSTREAM-A-B__2026-01-21_16-38-07,2026-01-21 16:38:07.000,,Media file,player #1:teressa_sync_filtered_videos\HC-2PPSTREAM\Deployement period 1\2026-HC-2PPSTREAM-A-B__2026-01-21_16-38-07.mp4,0.0,120.500,120.500,60.000,TW,2PP, 1,Winston,35.329,manipulate with hand(s),food processing - non-tool use,adjust grip,None,,,,STATE,5.367,5.867,0.500,teressa_sync_filtered_videos\HC-2PPSTREAM\Deployement period 1\2026-HC-2PPSTREAM-A-B__2026-01-21_16-38-07.mp4,214,234,,,,
2026-HC-2PPSTREAM-A-B__2026-01-21_16-38-07,2026-01-21 16:38:07.000,,Media file,player #1:teressa_sync_filtered_videos\HC-2PPSTREAM\Deployement period 1\2026-HC-2PPSTREAM-A-B__2026-01-21_16-38-07.mp4,0.0,120.500,120.500,60.000,TW,2PP, 1,Winston,35.329,releases HC,food handling,None,failure/uneaten,,,,POINT,7.333,7.333,NA,teressa_sync_filtered_videos\HC-2PPSTREAM\Deployement period 1\2026-HC-2PPSTREAM-A-B__2026-01-21_16-38-07.mp4,293,293,,,,
2026-HC-2PPSTREAM-A-B__2026-01-21_16-38-07,2026-01-21 16:38:07.000,,Media file,player #1:teressa_sync_filtered_videos\HC-2PPSTREAM\Deployement period 1\2026-HC-2PPSTREAM-A-B__2026-01-21_16-38-07.mp4,0.0,120.500,120.500,60.000,TW,2PP, 1,Winston,35.329,handling HC,food handling,None,bucket 1,None,None,None,STATE,8.967,13.733,4.766,teressa_sync_filtered_videos\HC-2PPSTREAM\Deployement period 1\2026-HC-2PPSTREAM-A-B__2026-01-21_16-38-07.mp4,358,549,,,,
