Observation id,Observation date,Description,Observation type,Source,Time offset (s),Coding duration,Media duration (s),FPS (frame/s),Coder ID Initials,Arena Site,Deployement Period,Subject,Observation duration by subject by observation,Behavior,Behavioral category,Modifier #1,Modifier #2,Modifier #3,Modifier #4,Modifier #5,Behavior type,Start (s),Stop (s),Duration (s),Media file name,Image index start,Image index stop,Image file path start,Image file path stop,Comment start,Comment stop
2026-HC-COCO-A-B__2026-02-09_07-10-58,2026-02-09 07:10:58.000,,Media file,player #1:teressa_sync_filtered_videos\HC-COCO\Deployement period 5\2026-HC-COCO-A-B__2026-02-09_07-10-58.mp4,0.0,0.000,137.100,30.000,TW,COCO, 5,unknown #1,0.0,point of interest/general comment,user notes,other - comment,,,,,POINT,0.533,0.533,NA,teressa_sync_filtered_videos\HC-COCO\Deployement period 5\2026-HC-COCO-A-B__2026-02-09_07-10-58.mp4,21,21,,,nca,
2026-HC-COCO-A-B__2026-02-09_15-50-29,2026-02-09 15:50:29.000,,Media file,player #1:teressa_sync_filtered_videos\HC-COCO\Deployement period 5\2026-HC-COCO-A-B__2026-02-09_15-50-29.mp4,0.0,47.834,235.967,30.000,TW,COCO, 5,juvenile #1,19.564,point of interest/general comment,user notes,other - comment,,,,,POINT,113.833,113.833,NA,teressa_sync_filtered_videos\HC-COCO\Deployement period 5\2026-HC-COCO-A-B__2026-02-09_15-50-29.mp4,3415,3415,,,cams not synced; camA is main,
2026-HC-COCO-A-B__2026-02-09_15-50-29,2026-02-09 15:50:29.000,,Media file,player #1:teressa_sync_filtered_videos\HC-COCO\Deployement period 5\2026-HC-COCO-A-B__2026-02-09_15-50-29.mp4,0.0,47.834,235.967,30.000,TW,COCO, 5,juvenile #1,19.564,bucket inspection,information gain,bucket 1,,,,,STATE,115.000,116.300,1.300,teressa_sync_filtered_videos\HC-COCO\Deployement period 5\2026-HC-COCO-A-B__2026-02-09_15-50-29.mp4,3450,3489,,,camB,camB
2026-HC-COCO-A-B__2026-02-09_15-50-29,2026-02-09 15:50:29.000,,Media file,player #1:teressa_sync_filtered_videos\HC-COCO\Deployement period 5\2026-HC-COCO-A-B__2026-02-09_15-50-29.mp4,0.0,47.834,235.967,30.000,TW,COCO, 5,juvenile #2,15.566,bucket inspection,information gain,bucket 1,,,,,STATE,123.400,125.567,2.167,teressa_sync_filtered_videos\HC-COCO\Deployement period 5\2026-HC-COCO-A-B__2026-02-09_15-50-29.mp4,3703,3768,,,,
2026-HC-COCO-A-B__2026-02-09_15-50-29,2026-02-09 15:50:29.000,,Media file,player #1:teressa_sync_filtered_videos\HC-COCO\Deployement period 5\2026-HC-COCO-A-B__2026-02-09_15-50-29.mp4,0.0,47.834,235.967,30.000,TW,COCO, 5,juvenile #1,19.564,bucket inspection,information gain,bucket 2,,,,,STATE,129.067,132.933,3.866,teressa_sync_filtered_videos\HC-COCO\Deployement period 5\2026-HC-COCO-A-B__2026-02-09_15-50-29.mp4,3873,3989,,,,
2026-HC-COCO-A-B__2026-02-09_15-50-29,2026-02-09 15:50:29.000,,Media file,player #1:teressa_sync_filtered_videos\HC-COCO\Deployement period 5\2026-HC-COCO-A-B__2026-02-09_15-50-29.mp4,0.0,47.834,235.967,30.000,TW,COCO, 5,juvenile #1,19.564,bucket rummaging,information gain,bucket 2,,,,,STATE,133.133,134.233,1.100,teressa_sync_filtered_videos\HC-COCO\Deployement period 5\2026-HC-COCO-A-B__2026-02-09_15-50-29.mp4,3995,4028,,,,
2026-HC-COCO-A-B__2026-02-09_15-50-29,2026-02-09 15:50:29.000,,Media file,player #1:teressa_sync_filtered_videos\HC-COCO\Deployement period 5\2026-HC-COCO-A-B__2026-02-09_15-50-29.mp4,0.0,47.834,235.967,30.000,TW,COCO, 5,juvenile #2,15.566,bucket inspection,information gain,bucket 2,,,,,STATE,135.733,143.933,8.200,teressa_sync_filtered_videos\HC-COCO\Deployement period 5\2026-HC-COCO-A-B__2026-02-09_15-50-29.mp4,4073,4319,,,,
2026-HC-COCO-A-B__2026-02-09_15-50-29,2026-02-09 15:50:29.000,,Media file,player #1:teressa_sync_filtered_videos\HC-COCO\Deployement period 5\2026-HC-COCO-A-B__2026-02-09_15-50-29.mp4,0.0,47.834,235.967,30.000,TW,COCO, 5,juvenile #1,19.564,handling HC,food handling,None,bucket 2,None,None,None,STATE,140.967,151.332,10.365,teressa_sync_filtered_videos\HC-COCO\Deployement period 5\2026-HC-COCO-A-B__2026-02-09_15-50-29.mp4,4230,NA,,,,etna
2026-HC-COCO-A-B__2026-02-09_15-50-29,2026-02-09 15:50:29.000,,Media file,player #1:teressa_sync_filtered_videos\HC-COCO\Deployement period 5\2026-HC-COCO-A-B__2026-02-09_15-50-29.mp4,0.0,47.834,235.967,30.000,TW,COCO, 5,juvenile #1,19.564,smells held HC,information gain,None,,,,,STATE,142.067,145.000,2.933,teressa_sync_filtered_videos\HC-COCO\Deployement period 5\2026-HC-COCO-A-B__2026-02-09_15-50-29.mp4,4263,4351,,,,
2026-HC-COCO-A-B__2026-02-09_15-50-29,2026-02-09 15:50:29.000,,Media file,player #1:teressa_sync_filtered_videos\HC-COCO\Deployement period 5\2026-HC-COCO-A-B__2026-02-09_15-50-29.mp4,0.0,47.834,235.967,30.000,TW,COCO, 5,juvenile #1,19.564,reduced visibility,status,,,,,,POINT,151.333,151.333,NA,teressa_sync_filtered_videos\HC-COCO\Deployement period 5\2026-HC-COCO-A-B__2026-02-09_15-50-29.mp4,4541,4541,,,,
