observation_id,anon_subject,arena_site,handling_sequence_id,handling_start,handling_stop
2026-HC-2PPSTREAM-A-B__2026-01-21_16-35-53,2,2PP,HT1,2026-01-21T16:37:49Z,2026-01-21T16:37:53Z
2026-HC-2PPSTREAM-A-B__2026-01-21_16-38-07,4,2PP,HT2,2026-01-21T16:38:11Z,2026-01-21T16:38:14Z
2026-HC-2PPSTREAM-A-B__2026-01-21_16-38-07,4,2PP,HT3,2026-01-21T16:38:15Z,2026-01-21T16:38:20Z
2026-HC-2PPSTREAM-A-B__2026-01-21_16-38-07,4,2PP,HT4,2026-01-21T16:38:41Z,2026-01-21T16:38:43Z
2026-HC-2PPSTREAM-A-B__2026-01-21_16-38-07,4,2PP,HT5,2026-01-21T16:38:53Z,2026-01-21T16:38:55Z
2026-HC-2PPSTREAM-A-B__2026-01-21_16-40-12,6,2PP,HT6,2026-01-21T16:41:04Z,2026-01-21T16:41:05Z
2026-HC-2PPSTREAM-A-B__2026-01-21_16-44-51,7,2PP,HT7,2026-01-21T16:44:51Z,2026-01-21T16:44:52Z
2026-HC-2PPSTREAM-A-B__2026-01-21_16-44-51,7,2PP,HT8,2026-01-21T16:44:53Z,2026-01-21T16:44:54Z
2026-HC-2PPSTREAM-A-B__2026-01-21_16-44-51,7,2PP,HT9,2026-01-21T16:44:54Z,2026-01-21T16:44:55Z
2026-HC-2PPSTREAM-A-B__2026-01-21_16-47-28,8,2PP,HT10,2026-01-21T16:47:39Z,2026-01-21T16:48:02Z
2026-HC-2PPSTREAM-A-B__2026-01-21_16-51-07,9,2PP,HT11,2026-01-21T16:51:16Z,2026-01-21T16:51:21Z
2026-HC-2PPSTREAM-A-B__2026-01-21_16-56-14,10,2PP,HT12,2026-01-21T16:56:24Z,2026-01-21T16:56:25Z
2026-HC-2PPSTREAM-A-B__2026-01-23_12-33-12,16,2PP,HT13,2026-01-23T12:33:21Z,2026-01-23T12:33:24Z
2026-HC-2PPSTREAM-A-B__2026-01-29_11-58-28,25,2PP,HT14,2026-01-29T11:58:37Z,2026-01-29T11:58:42Z
2026-HC-2PPSTREAM-A-B__2026-01-29_11-58-28,25,2PP,HT15,2026-01-29T11:59:02Z,2026-01-29T11:59:03Z
2026-HC-2PPSTREAM-A-B__2026-01-29_11-58-28,25,2PP,HT16,2026-01-29T11:59:20Z,2026-01-29T11:59:30Z
2026-HC-2PPSTREAM-A-B__2026-01-29_11-58-28,25,2PP,HT17,2026-01-29T11:59:50Z,2026-01-29T11:59:52Z
2026-HC-2PPSTREAM-A-B__2026-01-29_13-17-36,26,2PP,HT18,2026-01-29T13:17:47Z,2026-01-29T13:18:29Z
2026-HC-2PPSTREAM-A-B__2026-01-29_13-17-36,26,2PP,HT19,2026-01-29T13:18:36Z,2026-01-29T13:18:39Z
