"section","Characteristic","COCO","2PP","BBC","Overall"
"Sampling coverage","Processing sequences, n","22","73","45","140"
"Sampling coverage","Sequences per subject ID, median (range)","1 (1–3)","2 (1–21)","2.5 (1–15)","2 (1–21)"
"Sampling coverage","Subject IDs, n","15","18","10","43"
"Sampling coverage","Videos contributing sequences, n","13","24","22","59"
"Sampling coverage","Observation days represented, n","6","6","10","18"
"Subjects, n","Named","7","9","7","23"
"Subjects, n","Unnamed","8","9","3","20"
"Sequences by age class, n","Adult","2","27","14","43"
"Sequences by age class, n","Subadult","6","38","3","47"
"Sequences by age class, n","Juvenile","13","8","28","49"
"Sequences by age class, n","Non-adult, unspecified","1","0","0","1"
"Sequences by sex, n","Male","13","59","44","116"
"Sequences by sex, n","Female","0","6","0","6"
"Sequences by sex, n","Unknown","9","8","1","18"
"Sequences per main technique, n","Manipulate with hands","9","44","15","68"
"Sequences per main technique, n","Bite and pull with teeth","2","7","5","14"
"Sequences per main technique, n","Bite shell","0","5","1","6"
"Sequences per main technique, n","Roll/scrub on surface","0","0","0","0"
"Sequences per main technique, n","Hit/pound on surface","10","17","4","31"
"Sequences per main technique, n","Pound with hammerstone","1","0","20","21"
