Observation id,Observation date,Description,Observation type,Source,Time offset (s),Coding duration,Media duration (s),FPS (frame/s),Coder ID Initials,Arena Site,Deployement Period,Subject,Observation duration by subject by observation,Behavior,Behavioral category,Modifier #1,Modifier #2,Modifier #3,Modifier #4,Modifier #5,Behavior type,Start (s),Stop (s),Duration (s),Media file name,Image index start,Image index stop,Image file path start,Image file path stop,Comment start,Comment stop
2026-HC-BBC-A-B__2026-01-29_18-36-14,2026-07-14 16:22:52.111,,Media file,player #1:teressa_sync_filtered_videos\HC-BBC\Deployement period 3\2026-HC-BBC-A-B__2026-01-29_18-36-14.mp4,0.0,0.000,120.433,60.000,TW,BBC, 3,unknown #1,0.0,point of interest/general comment,user notes,other - comment,,,,,POINT,0.200,0.200,NA,teressa_sync_filtered_videos\HC-BBC\Deployement period 3\2026-HC-BBC-A-B__2026-01-29_18-36-14.mp4,10,10,,,nca,
2026-HC-BBC-A-B__2026-01-31_16-50-55,2026-07-14 16:24:05.547,,Media file,player #1:teressa_sync_filtered_videos\HC-BBC\Deployement period 3\2026-HC-BBC-A-B__2026-01-31_16-50-55.mp4,0.0,95.967,121.967,30.000,TW,BBC, 3,Bob,112.635,bucket inspection,information gain,bucket 2,,,,,STATE,2.700,4.133,1.433,teressa_sync_filtered_videos\HC-BBC\Deployement period 3\2026-HC-BBC-A-B__2026-01-31_16-50-55.mp4,81,124,,,,
2026-HC-BBC-A-B__2026-01-31_16-50-55,2026-07-14 16:24:05.547,,Media file,player #1:teressa_sync_filtered_videos\HC-BBC\Deployement period 3\2026-HC-BBC-A-B__2026-01-31_16-50-55.mp4,0.0,95.967,121.967,30.000,TW,BBC, 3,Bob,112.635,bucket rummaging,information gain,bucket 2,,,,,STATE,6.033,9.500,3.467,teressa_sync_filtered_videos\HC-BBC\Deployement period 3\2026-HC-BBC-A-B__2026-01-31_16-50-55.mp4,181,285,,,,
2026-HC-BBC-A-B__2026-01-31_16-50-55,2026-07-14 16:24:05.547,,Media file,player #1:teressa_sync_filtered_videos\HC-BBC\Deployement period 3\2026-HC-BBC-A-B__2026-01-31_16-50-55.mp4,0.0,95.967,121.967,30.000,TW,BBC, 3,Bob,112.635,batch processing,food handling,4HC,1HC,2HC,"manipulate with hands,roll/scrub on surface,pound with hammerstone",bucket 2,STATE,10.367,53.300,42.933,teressa_sync_filtered_videos\HC-BBC\Deployement period 3\2026-HC-BBC-A-B__2026-01-31_16-50-55.mp4,311,1599,,,,
2026-HC-BBC-A-B__2026-01-31_16-50-55,2026-07-14 16:24:05.547,,Media file,player #1:teressa_sync_filtered_videos\HC-BBC\Deployement period 3\2026-HC-BBC-A-B__2026-01-31_16-50-55.mp4,0.0,95.967,121.967,30.000,TW,BBC, 3,Bob,112.635,bucket inspection,information gain,bucket 1,,,,,STATE,12.433,14.200,1.767,teressa_sync_filtered_videos\HC-BBC\Deployement period 3\2026-HC-BBC-A-B__2026-01-31_16-50-55.mp4,373,426,,,,
2026-HC-BBC-A-B__2026-01-31_16-50-55,2026-07-14 16:24:05.547,,Media file,player #1:teressa_sync_filtered_videos\HC-BBC\Deployement period 3\2026-HC-BBC-A-B__2026-01-31_16-50-55.mp4,0.0,95.967,121.967,30.000,TW,BBC, 3,Bob,112.635,bucket rummaging,information gain,bucket 1,,,,,STATE,14.233,16.933,2.700,teressa_sync_filtered_videos\HC-BBC\Deployement period 3\2026-HC-BBC-A-B__2026-01-31_16-50-55.mp4,427,508,,,,
2026-HC-BBC-A-B__2026-01-31_16-50-55,2026-07-14 16:24:05.547,,Media file,player #1:teressa_sync_filtered_videos\HC-BBC\Deployement period 3\2026-HC-BBC-A-B__2026-01-31_16-50-55.mp4,0.0,95.967,121.967,30.000,TW,BBC, 3,Bob,112.635,2HC in batch processing,food handling,bucket 1,None,,,,STATE,17.133,34.467,17.334,teressa_sync_filtered_videos\HC-BBC\Deployement period 3\2026-HC-BBC-A-B__2026-01-31_16-50-55.mp4,514,1034,,,,
2026-HC-BBC-A-B__2026-01-31_16-50-55,2026-07-14 16:24:05.547,,Media file,player #1:teressa_sync_filtered_videos\HC-BBC\Deployement period 3\2026-HC-BBC-A-B__2026-01-31_16-50-55.mp4,0.0,95.967,121.967,30.000,TW,BBC, 3,Bob,112.635,3HC in batch processing,food handling,bucket 1,None,,,,STATE,17.133,25.200,8.067,teressa_sync_filtered_videos\HC-BBC\Deployement period 3\2026-HC-BBC-A-B__2026-01-31_16-50-55.mp4,514,756,,,,
2026-HC-BBC-A-B__2026-01-31_16-50-55,2026-07-14 16:24:05.547,,Media file,player #1:teressa_sync_filtered_videos\HC-BBC\Deployement period 3\2026-HC-BBC-A-B__2026-01-31_16-50-55.mp4,0.0,95.967,121.967,30.000,TW,BBC, 3,Bob,112.635,4HC in batch processing,food handling,bucket 1,None,,,,STATE,17.133,19.700,2.567,teressa_sync_filtered_videos\HC-BBC\Deployement period 3\2026-HC-BBC-A-B__2026-01-31_16-50-55.mp4,514,591,,,,
2026-HC-BBC-A-B__2026-01-31_16-50-55,2026-07-14 16:24:05.547,,Media file,player #1:teressa_sync_filtered_videos\HC-BBC\Deployement period 3\2026-HC-BBC-A-B__2026-01-31_16-50-55.mp4,0.0,95.967,121.967,30.000,TW,BBC, 3,Bob,112.635,smells held HC,information gain,multiple,,,,,STATE,17.600,18.033,0.433,teressa_sync_filtered_videos\HC-BBC\Deployement period 3\2026-HC-BBC-A-B__2026-01-31_16-50-55.mp4,528,541,,,,
